{'car_score': None, 'cate_name': '微型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-2107-0-0-0-0-11-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '手自一体', 'car_reference_price': '77.20-86.40万', 'car_img': 'https://car3.autoimg.cn/cardfs/product/g2/M04/2F/D8/s_autohomecar__wKgHFlsD6LOABPjYAAhOR1UyLgo409.jpg', 'cate_href': 'https://www.autohome.com.cn/a00/', 'car_level': 'MPV', 'car_engine': '3.5L', 'car_structure': 'MPV'}
{'car_score': '3.95', 'cate_name': '微型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-107-0-0-0-0-11-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '手自一体', 'car_reference_price': '36.38-61.00万', 'car_img': 'https://car1.autoimg.cn/upload/2014/6/24/s_201406241855494004122.jpg', 'cate_href': 'https://www.autohome.com.cn/a00/', 'car_level': 'MPV', 'car_engine': '2.4L', 'car_structure': 'MPV'}
{'car_score': None, 'cate_name': '微型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-2607-0-0-0-0-8-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '自动', 'car_reference_price': '42.00-42.40万', 'car_img': 'https://car2.autoimg.cn/cardfs/product/g22/M0F/DF/E6/s_autohomecar__wKgFW1okAySARlhnAAl9qj_YRns373.jpg', 'cate_href': 'https://www.autohome.com.cn/a00/', 'car_level': '轻客', 'car_engine': '2.7L', 'car_structure': '客车'}
{'car_score': '4.21', 'cate_name': '微型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-210-0-0-0-0-3-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '双离合', 'car_reference_price': '18.28-25.68万', 'car_img': 'https://car2.autoimg.cn/cardfs/product/g25/M07/4E/1A/s_autohomecar__wKgHIlqWl86ABKAXAAictC_6UR4024.jpg', 'cate_href': 'https://www.autohome.com.cn/a00/', 'car_level': '紧凑型车', 'car_engine': '1.2T', 'car_structure': '掀背'}
{'car_score': '4.43', 'cate_name': '微型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-372-0-0-0-0-1-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '双离合', 'car_reference_price': '38.18万', 'car_img': 'https://car2.autoimg.cn/cardfs/product/g8/M02/08/A5/s_autohomecar__wKgHz1ZmxS-AeMzqAAc46mV82qU530.jpg', 'cate_href': 'https://www.autohome.com.cn/a00/', 'car_level': '紧凑型车', 'car_engine': '2.0T', 'car_structure': '两厢'}
{'car_score': '4.26', 'cate_name': '微型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-650-0-0-0-0-1-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '双离合', 'car_reference_price': '18.98-21.85万', 'car_img': 'https://car2.autoimg.cn/cardfs/product/g6/M0F/B0/99/s_autohomecar__wKgHzVg9ZDeAJmlaAAhMtdr-DHU271.jpg', 'cate_href': 'https://www.autohome.com.cn/a00/', 'car_level': '小型车', 'car_engine': '1.4T', 'car_structure': '两厢'}
{'car_score': '4.55', 'cate_name': '微型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-370-0-0-0-0-6-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '双离合', 'car_reference_price': '34.35万', 'car_img': 'https://car3.autoimg.cn/cardfs/product/g15/M11/82/DC/s_autohomecar__wKgH5VkCsaOAXnTOAAhNhhBWcTg658.jpg', 'cate_href': 'https://www.autohome.com.cn/a00/', 'car_level': '紧凑型车', 'car_engine': '2.0T', 'car_structure': '软顶敞篷车'}
{'car_score': '4.38', 'cate_name': '微型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-4630-0-0-0-0-2-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '手动', 'car_reference_price': '7.38-11.58万', 'car_img': 'https://car2.autoimg.cn/cardfs/product/g24/M04/35/AC/s_autohomecar__wKgHIVpbN4aAYT8uAAoJVvgtO14288.jpg', 'cate_href': 'https://www.autohome.com.cn/a00/', 'car_level': '紧凑型车', 'car_engine': '1.3T', 'car_structure': '三厢'}
{'car_score': '4.47', 'cate_name': '中大型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-2992-0-0-0-0-2-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '手自一体', 'car_reference_price': '38.98-54.98万', 'car_img': 'https://car0.autoimg.cn/upload/2014/6/29/s_201406291555237254435.jpg', 'cate_href': 'https://www.autohome.com.cn/c/', 'car_level': '中型车', 'car_engine': '3.5L', 'car_structure': '三厢'}
{'car_score': '4.52', 'cate_name': '中大型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-3097-0-0-0-0-2-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '手自一体', 'car_reference_price': '37.98-61.48万', 'car_img': 'https://car3.autoimg.cn/cardfs/product/g24/M07/6E/E2/s_autohomecar__ChcCL1q8tuuAMna0AAcZ37eZ-M4971.jpg', 'cate_href': 'https://www.autohome.com.cn/c/', 'car_level': '中大型车', 'car_engine': '2.5L', 'car_structure': '三厢'}
{'car_score': '3.95', 'cate_name': '中大型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-3535-0-0-0-0-12-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '无级', 'car_reference_price': '18.08-23.58万', 'car_img': 'https://car0.autoimg.cn/upload/2014/9/10/s_20140910093913933417810.jpg', 'cate_href': 'https://www.autohome.com.cn/c/', 'car_level': '小型SUV', 'car_engine': '1.6L', 'car_structure': 'SUV'}
